file,handle,title,reading,background,background_hex,ink_hex,typeface,typeface_family,orientation,variant_skus
PRV-01-KNR-MINT.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,生成り,#f2ece0,#2a2724,明朝,Shippori Mincho,縦書き,PRV-01-KNR-S-MINT PRV-01-KNR-M-MINT PRV-01-KNR-L-MINT
PRV-01-KNR-MINY.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,生成り,#f2ece0,#2a2724,明朝,Shippori Mincho,横書き,PRV-01-KNR-S-MINY PRV-01-KNR-M-MINY PRV-01-KNR-L-MINY
PRV-01-KNR-FDET.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,生成り,#f2ece0,#2a2724,筆文字,Yuji Syuku,縦書き,PRV-01-KNR-S-FDET PRV-01-KNR-M-FDET PRV-01-KNR-L-FDET
PRV-01-KNR-FDEY.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,生成り,#f2ece0,#2a2724,筆文字,Yuji Syuku,横書き,PRV-01-KNR-S-FDEY PRV-01-KNR-M-FDEY PRV-01-KNR-L-FDEY
PRV-01-KNR-GOTT.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,生成り,#f2ece0,#2a2724,極太ゴシック,Dela Gothic One,縦書き,PRV-01-KNR-S-GOTT PRV-01-KNR-M-GOTT PRV-01-KNR-L-GOTT
PRV-01-KNR-GOTY.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,生成り,#f2ece0,#2a2724,極太ゴシック,Dela Gothic One,横書き,PRV-01-KNR-S-GOTY PRV-01-KNR-M-GOTY PRV-01-KNR-L-GOTY
PRV-01-AI-MINT.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,藍,#1f3c66,#f4f1e8,明朝,Shippori Mincho,縦書き,PRV-01-AI-S-MINT PRV-01-AI-M-MINT PRV-01-AI-L-MINT
PRV-01-AI-MINY.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,藍,#1f3c66,#f4f1e8,明朝,Shippori Mincho,横書き,PRV-01-AI-S-MINY PRV-01-AI-M-MINY PRV-01-AI-L-MINY
PRV-01-AI-FDET.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,藍,#1f3c66,#f4f1e8,筆文字,Yuji Syuku,縦書き,PRV-01-AI-S-FDET PRV-01-AI-M-FDET PRV-01-AI-L-FDET
PRV-01-AI-FDEY.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,藍,#1f3c66,#f4f1e8,筆文字,Yuji Syuku,横書き,PRV-01-AI-S-FDEY PRV-01-AI-M-FDEY PRV-01-AI-L-FDEY
PRV-01-AI-GOTT.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,藍,#1f3c66,#f4f1e8,極太ゴシック,Dela Gothic One,縦書き,PRV-01-AI-S-GOTT PRV-01-AI-M-GOTT PRV-01-AI-L-GOTT
PRV-01-AI-GOTY.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,藍,#1f3c66,#f4f1e8,極太ゴシック,Dela Gothic One,横書き,PRV-01-AI-S-GOTY PRV-01-AI-M-GOTY PRV-01-AI-L-GOTY
PRV-01-SUMI-MINT.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,墨,#22201e,#efe9dc,明朝,Shippori Mincho,縦書き,PRV-01-SUMI-S-MINT PRV-01-SUMI-M-MINT PRV-01-SUMI-L-MINT
PRV-01-SUMI-MINY.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,墨,#22201e,#efe9dc,明朝,Shippori Mincho,横書き,PRV-01-SUMI-S-MINY PRV-01-SUMI-M-MINY PRV-01-SUMI-L-MINY
PRV-01-SUMI-FDET.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,墨,#22201e,#efe9dc,筆文字,Yuji Syuku,縦書き,PRV-01-SUMI-S-FDET PRV-01-SUMI-M-FDET PRV-01-SUMI-L-FDET
PRV-01-SUMI-FDEY.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,墨,#22201e,#efe9dc,筆文字,Yuji Syuku,横書き,PRV-01-SUMI-S-FDEY PRV-01-SUMI-M-FDEY PRV-01-SUMI-L-FDEY
PRV-01-SUMI-GOTT.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,墨,#22201e,#efe9dc,極太ゴシック,Dela Gothic One,縦書き,PRV-01-SUMI-S-GOTT PRV-01-SUMI-M-GOTT PRV-01-SUMI-L-GOTT
PRV-01-SUMI-GOTY.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,墨,#22201e,#efe9dc,極太ゴシック,Dela Gothic One,横書き,PRV-01-SUMI-S-GOTY PRV-01-SUMI-M-GOTY PRV-01-SUMI-L-GOTY
PRV-01-SHU-MINT.png,ishi-no-ue-nimo-sannen,石の上にも三年,いしのうえにもさんねん,朱,#b03a2e,#f7f2e7,明朝,Shippori Mincho,縦書き,PRV-01-SHU-S-MINT PRV-01-SHU-M-MINT PRV-01-SHU-L-MINT
